,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_7,attribute_8,attribute_9,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,attribute_18,attribute_19,attribute_20,attribute_21,attribute_22,attribute_23,attribute_24,attribute_25,attribute_26,attribute_27,attribute_28,attribute_29,attribute_30,attribute_31,attribute_32,attribute_33,attribute_34,attribute_35,attribute_36,attribute_37,attribute_38,attribute_39,attribute_40,attribute_41,attribute_42,attribute_43,attribute_44,attribute_45,attribute_46,attribute_47,attribute_48,attribute_49,attribute_50,attribute_51,attribute_52,attribute_53,attribute_54,attribute_55,attribute_56,attribute_57,attribute_58,attribute_59,attribute_60,Class
0,1,1,0,2,1,3,2,1,0,3,1,0,1,0,2,2,0,2,2,1,1,0,2,1,2,0,2,1,0,2,2,4,1,4,2,5,4,1,1,0,0,2,2,2,1,1,4,4,1,2,0,2,1,1,0,2,4,1,4,2,0
1,0,3,0,1,1,1,2,1,1,2,2,2,0,2,2,1,2,2,0,2,2,0,1,1,4,2,1,0,2,2,2,4,2,0,2,1,1,1,1,0,1,1,2,1,1,1,1,4,1,1,2,4,2,1,1,1,1,1,2,1,0
2,3,0,2,2,3,2,0,0,2,2,0,1,2,4,1,1,3,3,1,1,1,1,0,2,2,0,2,1,1,2,2,4,2,0,2,0,0,2,1,2,1,0,2,4,1,2,2,2,2,2,1,0,1,2,2,2,2,0,4,2,0
3,3,3,2,1,3,2,1,2,3,3,2,1,3,2,2,3,1,0,1,0,4,4,1,1,4,2,2,1,0,2,2,4,0,4,2,2,2,2,1,2,2,2,2,1,4,4,2,1,4,1,2,2,4,4,4,4,1,1,1,1,0
4,3,1,3,1,0,2,1,1,1,1,1,0,2,2,3,1,0,1,1,1,0,2,2,0,0,1,4,2,0,1,2,4,2,0,2,5,2,4,1,1,1,1,0,4,1,1,1,2,2,1,1,1,4,4,2,0,1,1,1,4,0
5,1,0,2,0,1,3,2,2,2,3,2,2,0,1,0,0,1,0,0,0,0,1,1,4,4,1,0,2,1,2,2,4,0,0,2,0,2,0,2,2,2,1,1,0,0,2,1,4,1,0,2,0,2,0,1,1,0,1,0,2,0
6,1,1,3,3,3,2,0,2,2,0,1,0,2,1,0,1,1,0,0,2,0,0,2,4,2,4,2,1,0,2,2,4,0,1,2,5,4,1,1,1,0,1,1,4,2,1,1,1,4,2,2,4,2,2,1,1,2,1,1,0,0
7,1,1,1,3,1,2,3,2,1,2,2,3,1,1,0,1,2,0,1,1,0,0,2,0,1,1,0,2,1,2,2,4,2,0,2,1,1,0,1,2,2,2,1,0,2,2,1,1,2,2,2,2,4,1,2,4,2,2,2,2,0
8,4,3,2,1,2,0,1,3,0,1,2,2,1,2,1,2,2,0,2,2,1,1,1,4,2,2,0,2,0,2,2,4,2,0,2,2,0,1,1,1,4,1,1,4,2,4,1,1,1,4,2,1,4,1,1,0,2,4,1,1,0
9,0,0,2,1,3,2,0,1,0,2,3,2,2,0,1,1,1,2,2,4,1,0,0,1,4,4,1,0,0,2,2,4,2,0,2,1,1,0,2,2,0,2,4,1,2,2,2,4,2,2,2,0,2,2,2,4,2,0,2,0,0
